Begin to read solar wind speed, IMF, AE and Dst
End of reading solar wind speed, IMF, AE and Dst
F16, 2011-001, 37169
F16, 2011-001, 37170
F16, 2011-001, 37171
F16, 2011-001, 37172
F16, 2011-001, 37173
F16, 2011-001, 37174
F16, 2011-001, 37176
F16, 2011-001, 37177
F16, 2011-001, 37179
F16, 2011-001, 37180
F16, 2011-001, 37181
F16, 2011-001, 37182
F16, 2011-002, 37183
F16, 2011-002, 37184
F16, 2011-002, 37185
F16, 2011-002, 37186
F16, 2011-002, 37187
F16, 2011-002, 37188
F16, 2011-002, 37190
F16, 2011-002, 37191
F16, 2011-002, 37195
F16, 2011-002, 37196
F16, 2011-003, 37197
F16, 2011-003, 37198
F16, 2011-003, 37199
F16, 2011-003, 37200
F16, 2011-003, 37202
F16, 2011-003, 37203
F16, 2011-003, 37205
F16, 2011-003, 37206
F16, 2011-003, 37207
F16, 2011-003, 37209
F16, 2011-003, 37210
F16, 2011-004, 37219
F16, 2011-004, 37211
F16, 2011-004, 37212
F16, 2011-004, 37213
F16, 2011-004, 37214
F16, 2011-004, 37216
F16, 2011-004, 37217
F16, 2011-004, 37220
F16, 2011-004, 37221
F16, 2011-004, 37223
F16, 2011-004, 37224
F16, 2011-005, 37226
F16, 2011-005, 37227
F16, 2011-005, 37228
F16, 2011-005, 37230
F16, 2011-005, 37231
F16, 2011-005, 37233
F16, 2011-005, 37234
F16, 2011-005, 37235
F16, 2011-005, 37236
F16, 2011-005, 37237
F16, 2011-005, 37238
F16, 2011-005, 37239
F16, 2011-006, 37240
F16, 2011-006, 37241
F16, 2011-006, 37242
F16, 2011-006, 37243
F16, 2011-006, 37244
F16, 2011-006, 37245
F16, 2011-006, 37248
F16, 2011-006, 37249
F16, 2011-006, 37250
F16, 2011-006, 37251
F16, 2011-006, 37252
F16, 2011-006, 37253
F16, 2011-007, 37254
F16, 2011-007, 37255
F16, 2011-007, 37256
F16, 2011-007, 37257
F16, 2011-007, 37258
F16, 2011-007, 37259
F16, 2011-007, 37261
F16, 2011-007, 37262
F16, 2011-007, 37263
F16, 2011-007, 37264
F16, 2011-007, 37265
F16, 2011-007, 37266
F16, 2011-007, 37267
F16, 2011-008, 37268
F16, 2011-008, 37269
F16, 2011-008, 37270
F16, 2011-008, 37271
F16, 2011-008, 37272
F16, 2011-008, 37273
F16, 2011-008, 37275
F16, 2011-008, 37276
F16, 2011-008, 37277
F16, 2011-008, 37278
F16, 2011-008, 37279
F16, 2011-008, 37280
F16, 2011-008, 37281
F16, 2011-009, 37282
F16, 2011-009, 37283
F16, 2011-009, 37284
F16, 2011-009, 37285
F16, 2011-009, 37286
F16, 2011-009, 37287
F16, 2011-009, 37289
F16, 2011-009, 37290
F16, 2011-009, 37291
F16, 2011-009, 37293
F16, 2011-009, 37294
F16, 2011-009, 37295
F16, 2011-010, 37296
F16, 2011-010, 37297
F16, 2011-010, 37298
F16, 2011-010, 37300
F16, 2011-010, 37301
F16, 2011-010, 37303
F16, 2011-010, 37304
F16, 2011-010, 37305
F16, 2011-010, 37306
F16, 2011-010, 37308
F16, 2011-010, 37309
F16, 2011-011, 37310
F16, 2011-011, 37311
F16, 2011-011, 37312
F16, 2011-011, 37313
F16, 2011-011, 37315
F16, 2011-011, 37317
F16, 2011-011, 37318
F16, 2011-011, 37319
F16, 2011-011, 37320
F16, 2011-011, 37323
F16, 2011-012, 37332
F16, 2011-012, 37324
F16, 2011-012, 37325
F16, 2011-012, 37326
F16, 2011-012, 37327
F16, 2011-012, 37329
F16, 2011-012, 37330
F16, 2011-012, 37331
F16, 2011-012, 37333
F16, 2011-012, 37334
F16, 2011-012, 37335
F16, 2011-012, 37336
F16, 2011-012, 37337
F16, 2011-013, 37339
F16, 2011-013, 37340
F16, 2011-013, 37343
F16, 2011-013, 37344
F16, 2011-013, 37346
F16, 2011-013, 37347
F16, 2011-013, 37348
F16, 2011-013, 37349
F16, 2011-013, 37350
F16, 2011-013, 37351
F16, 2011-013, 37352
F16, 2011-014, 37353
F16, 2011-014, 37354
F16, 2011-014, 37358
F16, 2011-014, 37360
F16, 2011-014, 37361
F16, 2011-014, 37362
F16, 2011-014, 37363
F16, 2011-014, 37365
F16, 2011-014, 37366
F16, 2011-015, 37367
F16, 2011-015, 37368
